14.5,9.6,Giraffe
17.36,9.3,Giraffe
14.3,14.35,Giraffe
19.83,10.65,Giraffe
16.51,13.29,Giraffe
14.14,10.32,Giraffe
16.43,9.53,Giraffe
18.84,11.85,Giraffe
17.89,12.06,Giraffe
18.95,12.44,Giraffe
12.4,14.56,Giraffe
19.04,10.55,Giraffe
15.05,10.11,Giraffe
15.59,12.09,Giraffe
15.82,12.83,Giraffe
15.71,9.23,Giraffe
17.85,12.25,Giraffe
17.04,13.41,Giraffe
17.38,11.56,Giraffe
15.84,14.92,Giraffe
16.02,12.45,Giraffe
15.28,9.29,Giraffe
12.39,12.79,Giraffe
16.04,10.76,Giraffe
19.26,11.15,Giraffe
18.99,14.94,Giraffe
15.18,9.87,Giraffe
14.03,12.79,Giraffe
14.29,10.8,Giraffe
19.53,11.47,Giraffe
14.01,11.81,Giraffe
12.48,9.36,Giraffe
13.14,14.93,Giraffe
15.39,10.96,Giraffe
13.93,13.48,Giraffe
15.28,11.24,Giraffe
14.27,11.43,Giraffe
12.8,11.25,Giraffe
13.93,11.4,Giraffe
18.32,13.65,Giraffe
6.2,8.53,Elephant
7.48,13.33,Elephant
6.72,8.8,Elephant
6.71,14.04,Elephant
7.91,14.4,Elephant
7.12,11.58,Elephant
9.48,8.91,Elephant
9.79,9.7,Elephant
9.75,13.29,Elephant
8.75,13.16,Elephant
7.29,10.68,Elephant
6.9,14.03,Elephant
6.92,11.11,Elephant
6.56,12.0,Elephant
6.81,11.24,Elephant
6.09,12.4,Elephant
8.96,12.31,Elephant
9.36,14.38,Elephant
8.8,11.96,Elephant
6.37,11.36,Elephant
7.2,14.86,Elephant
6.62,13.94,Elephant
6.42,12.12,Elephant
7.04,8.46,Elephant
9.65,13.63,Elephant
9.3,11.96,Elephant
7.11,14.87,Elephant
8.78,10.01,Elephant
8.23,8.12,Elephant
8.47,8.01,Elephant
6.48,11.14,Elephant
7.05,13.53,Elephant
7.13,10.37,Elephant
9.29,12.34,Elephant
6.04,14.95,Elephant
8.38,9.47,Elephant
7.24,11.23,Elephant
6.14,8.36,Elephant
8.4,14.3,Elephant
7.79,12.43,Elephant
4.19,4.86,Tiger
3.63,6.55,Tiger
3.51,6.79,Tiger
3.85,5.23,Tiger
4.55,6.08,Tiger
3.98,5.43,Tiger
3.85,4.13,Tiger
3.66,5.2,Tiger
2.05,4.15,Tiger
3.14,6.51,Tiger
2.82,4.82,Tiger
3.39,5.15,Tiger
3.32,6.89,Tiger
3.43,5.14,Tiger
4.48,4.99,Tiger
3.45,6.1,Tiger
2.58,5.37,Tiger
3.09,4.05,Tiger
4.16,5.59,Tiger
3.77,4.64,Tiger
3.99,6.16,Tiger
4.98,5.93,Tiger
4.52,6.35,Tiger
4.54,5.42,Tiger
3.06,4.9,Tiger
3.33,4.55,Tiger
2.0,5.31,Tiger
2.18,4.3,Tiger
2.89,4.99,Tiger
4.97,6.67,Tiger
4.63,4.08,Tiger
2.75,4.31,Tiger
4.53,5.35,Tiger
2.03,4.35,Tiger
3.9,5.13,Tiger
3.04,6.55,Tiger
3.48,6.52,Tiger
2.35,4.18,Tiger
3.15,5.03,Tiger
3.56,4.37,Tiger
0.68,1.3,Rabbit
0.7,1.99,Rabbit
1.62,1.12,Rabbit
1.0,0.8,Rabbit
0.76,0.93,Rabbit
0.68,2.45,Rabbit
1.65,1.21,Rabbit
0.79,2.41,Rabbit
1.86,1.57,Rabbit
1.13,1.81,Rabbit
1.42,1.68,Rabbit
1.08,1.15,Rabbit
1.91,1.17,Rabbit
1.39,0.76,Rabbit
0.84,1.22,Rabbit
1.59,1.09,Rabbit
0.8,1.37,Rabbit
1.1,2.08,Rabbit
1.27,1.65,Rabbit
1.08,0.74,Rabbit
1.3,1.91,Rabbit
1.28,1.3,Rabbit
1.01,1.75,Rabbit
0.89,1.14,Rabbit
1.13,2.26,Rabbit
1.38,1.5,Rabbit
0.96,1.86,Rabbit
0.78,1.14,Rabbit
1.96,2.04,Rabbit
1.46,1.04,Rabbit
1.21,1.68,Rabbit
1.86,1.82,Rabbit
0.94,1.72,Rabbit
1.16,2.37,Rabbit
1.53,0.76,Rabbit
1.5,1.95,Rabbit
1.7,2.49,Rabbit
1.17,2.49,Rabbit
0.87,1.23,Rabbit
1.6,1.86,Rabbit
1.82,4.25,Dog
2.6,3.69,Dog
1.94,2.03,Dog
2.36,2.26,Dog
2.47,3.25,Dog
2.82,4.57,Dog
2.1,3.99,Dog
1.95,4.24,Dog
1.74,2.07,Dog
2.28,3.21,Dog
2.03,4.89,Dog
2.92,4.31,Dog
1.97,2.44,Dog
2.3,2.44,Dog
2.45,3.08,Dog
2.54,4.33,Dog
2.85,2.27,Dog
2.42,3.16,Dog
2.77,3.26,Dog
1.94,3.16,Dog
2.54,2.68,Dog
2.81,4.78,Dog
2.52,2.98,Dog
1.63,3.97,Dog
2.59,4.79,Dog
1.88,2.89,Dog
1.75,4.81,Dog
2.96,3.81,Dog
2.72,3.34,Dog
2.69,4.18,Dog
1.83,4.92,Dog
2.48,2.77,Dog
2.29,4.39,Dog
1.61,3.91,Dog
2.46,4.5,Dog
1.57,3.45,Dog
1.52,2.21,Dog
1.73,3.66,Dog
2.02,4.43,Dog
1.98,3.76,Dog
