14.5,9.6,0
17.36,9.3,0
14.3,14.35,0
19.83,10.65,0
16.51,13.29,0
14.14,10.32,0
16.43,9.53,0
18.84,11.85,0
17.89,12.06,0
18.95,12.44,0
12.4,14.56,0
19.04,10.55,0
15.05,10.11,0
15.59,12.09,0
15.82,12.83,0
15.71,9.23,0
17.85,12.25,0
17.04,13.41,0
17.38,11.56,0
15.84,14.92,0
16.02,12.45,0
15.28,9.29,0
12.39,12.79,0
16.04,10.76,0
19.26,11.15,0
18.99,14.94,0
15.18,9.87,0
14.03,12.79,0
14.29,10.8,0
19.53,11.47,0
14.01,11.81,0
12.48,9.36,0
13.14,14.93,0
15.39,10.96,0
13.93,13.48,0
15.28,11.24,0
14.27,11.43,0
12.8,11.25,0
13.93,11.4,0
18.32,13.65,0
6.2,8.53,1
7.48,13.33,1
6.72,8.8,1
6.71,14.04,1
7.91,14.4,1
7.12,11.58,1
9.48,8.91,1
9.79,9.7,1
9.75,13.29,1
8.75,13.16,1
7.29,10.68,1
6.9,14.03,1
6.92,11.11,1
6.56,12.0,1
6.81,11.24,1
6.09,12.4,1
8.96,12.31,1
9.36,14.38,1
8.8,11.96,1
6.37,11.36,1
7.2,14.86,1
6.62,13.94,1
6.42,12.12,1
7.04,8.46,1
9.65,13.63,1
9.3,11.96,1
7.11,14.87,1
8.78,10.01,1
8.23,8.12,1
8.47,8.01,1
6.48,11.14,1
7.05,13.53,1
7.13,10.37,1
9.29,12.34,1
6.04,14.95,1
8.38,9.47,1
7.24,11.23,1
6.14,8.36,1
8.4,14.3,1
7.79,12.43,1
