EMRA_ECOLI  0.06  0.61  0.48  0.50  0.49  0.92  0.37   0
AAS_ECOLI   0.44  0.52  0.48  0.50  0.43  0.47  0.54   0
AMPE_ECOLI  0.63  0.47  0.48  0.50  0.51  0.82  0.84   0
ARAE_ECOLI  0.23  0.48  0.48  0.50  0.59  0.88  0.89   0
ARAH_ECOLI  0.34  0.49  0.48  0.50  0.58  0.85  0.80   0
AROP_ECOLI  0.43  0.40  0.48  0.50  0.58  0.75  0.78   0
ATKB_ECOLI  0.46  0.61  0.48  0.50  0.48  0.86  0.87   0
ATP6_ECOLI  0.27  0.35  0.48  0.50  0.51  0.77  0.79   0
BETT_ECOLI  0.52  0.39  0.48  0.50  0.65  0.71  0.73   0
CODB_ECOLI  0.29  0.47  0.48  0.50  0.71  0.65  0.69   0
CYDA_ECOLI  0.55  0.47  0.48  0.50  0.57  0.78  0.80   0
CYOC_ECOLI  0.12  0.67  0.48  0.50  0.74  0.58  0.63   0
CYOD_ECOLI  0.40  0.50  0.48  0.50  0.65  0.82  0.84   0
DCTA_ECOLI  0.73  0.36  0.48  0.50  0.53  0.91  0.92   0
DHG_ECOLI   0.84  0.44  0.48  0.50  0.48  0.71  0.74   0
DHSC_ECOLI  0.48  0.45  0.48  0.50  0.60  0.78  0.80   0
DHSD_ECOLI  0.54  0.49  0.48  0.50  0.40  0.87  0.88   0
DPPC_ECOLI  0.48  0.41  0.48  0.50  0.51  0.90  0.88   0
DSBB_ECOLI  0.50  0.66  0.48  0.50  0.31  0.92  0.92   0
ENVZ_ECOLI  0.72  0.46  0.48  0.50  0.51  0.66  0.70   0
EXBB_ECOLI  0.47  0.55  0.48  0.50  0.58  0.71  0.75   0
FRDC_ECOLI  0.33  0.56  0.48  0.50  0.33  0.78  0.80   0
FRDD_ECOLI  0.64  0.58  0.48  0.50  0.48  0.78  0.73   0
FTSW_ECOLI  0.54  0.57  0.48  0.50  0.56  0.81  0.83   0
GABP_ECOLI  0.47  0.59  0.48  0.50  0.52  0.76  0.79   0
GALP_ECOLI  0.63  0.50  0.48  0.50  0.59  0.85  0.86   0
GLNP_ECOLI  0.49  0.42  0.48  0.50  0.53  0.79  0.81   0
GLPT_ECOLI  0.31  0.50  0.48  0.50  0.57  0.84  0.85   0
GLTP_ECOLI  0.74  0.44  0.48  0.50  0.55  0.88  0.89   0
KDGL_ECOLI  0.33  0.45  0.48  0.50  0.45  0.88  0.89   0
KGTP_ECOLI  0.45  0.40  0.48  0.50  0.61  0.74  0.77   0
LACY_ECOLI  0.71  0.40  0.48  0.50  0.71  0.70  0.74   0
LGT_ECOLI   0.50  0.37  0.48  0.50  0.66  0.64  0.69   0
LLDP_ECOLI  0.66  0.53  0.48  0.50  0.59  0.66  0.66   0
LNT_ECOLI   0.60  0.61  0.48  0.50  0.54  0.67  0.71   0
LSPA_ECOLI  0.83  0.37  0.48  0.50  0.61  0.71  0.74   0
LYSP_ECOLI  0.34  0.51  0.48  0.50  0.67  0.90  0.90   0
MALF_ECOLI  0.63  0.54  0.48  0.50  0.65  0.79  0.81   0
MALG_ECOLI  0.70  0.40  0.48  0.50  0.56  0.86  0.83   0
MCP3_ECOLI  0.60  0.50  1.00  0.50  0.54  0.77  0.80   0
MSBB_ECOLI  0.16  0.51  0.48  0.50  0.33  0.39  0.48   0
MTR_ECOLI   0.74  0.70  0.48  0.50  0.66  0.65  0.69   0
NANT_ECOLI  0.20  0.46  0.48  0.50  0.57  0.78  0.81   0
NHAA_ECOLI  0.89  0.55  0.48  0.50  0.51  0.72  0.76   0
NHAB_ECOLI  0.70  0.46  0.48  0.50  0.56  0.78  0.73   0
PHEP_ECOLI  0.12  0.43  0.48  0.50  0.63  0.70  0.74   0
PHOR_ECOLI  0.61  0.52  0.48  0.50  0.54  0.67  0.52   0
PNTA_ECOLI  0.33  0.37  0.48  0.50  0.46  0.65  0.69   0
POTE_ECOLI  0.63  0.65  0.48  0.50  0.66  0.67  0.71   0
PROP_ECOLI  0.41  0.51  0.48  0.50  0.53  0.75  0.78   0
PSTA_ECOLI  0.34  0.67  0.48  0.50  0.52  0.76  0.79   0
PSTC_ECOLI  0.58  0.34  0.48  0.50  0.56  0.87  0.81   0
PTAA_ECOLI  0.59  0.56  0.48  0.50  0.55  0.80  0.82   0
PTBA_ECOLI  0.51  0.40  0.48  0.50  0.57  0.62  0.67   0
PTCC_ECOLI  0.50  0.57  0.48  0.50  0.71  0.61  0.66   0
PTDA_ECOLI  0.60  0.46  0.48  0.50  0.45  0.81  0.83   0
PTFB_ECOLI  0.37  0.47  0.48  0.50  0.39  0.76  0.79   0
PTGB_ECOLI  0.58  0.55  0.48  0.50  0.57  0.70  0.74   0
PTHB_ECOLI  0.36  0.47  0.48  0.50  0.51  0.69  0.72   0
PTMA_ECOLI  0.39  0.41  0.48  0.50  0.52  0.72  0.75   0
PTOA_ECOLI  0.35  0.51  0.48  0.50  0.61  0.71  0.74   0
PTTB_ECOLI  0.31  0.44  0.48  0.50  0.50  0.79  0.82   0
RODA_ECOLI  0.61  0.66  0.48  0.50  0.46  0.87  0.88   0
SECE_ECOLI  0.48  0.49  0.48  0.50  0.52  0.77  0.71   0
SECF_ECOLI  0.11  0.50  0.48  0.50  0.58  0.72  0.68   0
SECY_ECOLI  0.31  0.36  0.48  0.50  0.58  0.94  0.94   0
TNAB_ECOLI  0.68  0.51  0.48  0.50  0.71  0.75  0.78   0
XYLE_ECOLI  0.69  0.39  0.48  0.50  0.57  0.76  0.79   0
YCEE_ECOLI  0.52  0.54  0.48  0.50  0.62  0.76  0.79   0
EXBD_ECOLI  0.46  0.59  0.48  0.50  0.36  0.76  0.23   0
